source_id,target_id,relationship
MIC-LIQF,LIQUIDNET EUROPE LIMITED market segment-level market identifier,rdf-schema#label
Facility-RSEX,Rwanda,operatesInCountry
Facility-FNCS,www.fenicsust.com,hasWebsite
MIC-EXSF,ExpiredMICStatus,hasMarketIdentifierCodeStatus
MIC-HKME,HONG KONG MERCANTILE EXCHANGE operating-level market identifier,rdf-schema#label
ServiceProvider-L-353800AUUG9V5SLXRO72,"JAPAN ALTERNATIVE MARKET CO,. LTD. as service provider",rdf-schema#label
Facility-CRDL,ServiceProvider-COREDEALMTS,isManagedBy
ServiceProvider-JAPANNEXT-J-MARKET,LegalEntity-JAPANNEXT-J-MARKET,isPlayedBy
Facility-XMAN,Managua,operatesInMunicipality
ServiceProvider-L-NICH5Q04ADUV9SN3Q390,L-NICH5Q04ADUV9SN3Q390,isPlayedBy
MIC-TBSP,TREASURY BOND MARKET market segment-level market identifier,rdf-schema#label
MIC-ICPM,ICPM,hasTag
Facility-PMTS,OperatingLevelMarket,22-rdf-syntax-ns#type
MIC-NLPX,APX POWER NL operating-level market identifier,rdf-schema#label
Facility-LASF,OperatingLevelMarket,22-rdf-syntax-ns#type
MIC-GSXC,GSX CHINA operating-level market identifier,rdf-schema#label
Facility-TMCC,New_York,operatesInMunicipality
MIC-AURB,MICCodeScheme,isMemberOf
MIC-XATS,ALPHA EXCHANGE operating-level market identifier,rdf-schema#label
Facility-RCBX,INSTINET RETAIL CBX,rdf-schema#label
MIC-XMIO,MarketSegmentLevelMarketIdentifier,22-rdf-syntax-ns#type
MIC-MTSO,Facility-MTSO,identifies
MIC-IFLL,ActiveMICStatus,hasMarketIdentifierCodeStatus
Facility-NOME,UnitedKingdomOfGreatBritainAndNorthernIreland,operatesInCountry
Facility-HANA,Germany,operatesInCountry
MIC-BOVM,BOLSA DE VALORES MINAS-ESPIRITO SANTO-BRASILIA operating-level market identifier,rdf-schema#label
Facility-AKIS,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-FXPS,RSEF (RFS),hasFacilityAcronym
Facility-WFSE,"WELLS FARGO SECURITIES EUROPE, S.A.",rdf-schema#label
LegalEntity-ESWATINISTOCKEXCHANGE,LegalEntity,22-rdf-syntax-ns#type
Facility-TQEA,MarketSegmentLevelMarket,22-rdf-syntax-ns#type
ServiceProvider-FUKUOKASTOCKEXCHANGE,FinancialServiceProvider,22-rdf-syntax-ns#type
ServiceProvider-L-1VUV7VQFKUOQSJ21A208,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK as service provider,rdf-schema#label
Facility-EXSP,MarketSegmentLevelMarket,22-rdf-syntax-ns#type
LegalEntity-MTSCEDULASMARKET,LegalEntity,22-rdf-syntax-ns#type
ServiceProvider-LONDONDERIVATIVESEXCHANGE,FinancialServiceProvider,22-rdf-syntax-ns#type
ServiceProvider-SWAPSTREAM,SWAPSTREAM as service provider,rdf-schema#label
Facility-MTSD,ServiceProvider-MTSDENMARK,isManagedBy
ServiceProvider-L-353800279ADEFGKNTV65,FinancialServiceProvider,22-rdf-syntax-ns#type
Facility-VWDA,APPROVED PUBLICATION ARRANGEMENT.,core#note
MIC-CBOE,Facility-CBOE,identifies
ServiceProvider-DEUTSCHEBANK-DIRECTCAPITALACCESS,FinancialServiceProvider,22-rdf-syntax-ns#type
Facility-XEMB,Frankfurt,operatesInMunicipality
ServiceProvider-L-254900XBYUDKOCN2GV57,TORA CROSSPOINT as service provider,rdf-schema#label
MIC-XSC1,BOERSE FRANKFURT WARRANTS TECHNICAL 1 market segment-level market identifier,rdf-schema#label
MIC-WELS,WELS,hasTag
MIC-M2AE,ActiveMICStatus,hasMarketIdentifierCodeStatus
LegalEntity-LYNXATS,LYNX ATS,rdf-schema#label
ServiceProvider-L-549300HO3R60QNJ2JJ83,ZERO HASH as service provider,rdf-schema#label
MIC-DEAL,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-ICXL,www.icexindia.com,hasWebsite
Facility-BERA,BOERSE BERLIN - REGULIERTER MARKT,hasFormalName
MIC-TPMF,Facility-TPMF,identifies
MIC-UNGB,Facility-UNGB,identifies
Facility-XLJU,Slovenia,operatesInCountry
MIC-BJSE,BJSE,hasTag
ServiceProvider-L-959800Z25H6MSXFBBG16,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-CLHK,Hong_Kong,operatesInMunicipality
MIC-CSAU,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
LegalEntity-BOLSADECOMERCIODEMENDOZASA,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-XACE,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-GMES,ServiceProvider-L-969500OBCS5EQT67NQ53,isManagedBy
Facility-AAPA,ATHENS EXCHANGE - APA,hasFormalName
Facility-XBVC,ServiceProvider-CAPEVERDESTOCKEXCHANGE,isManagedBy
MIC-PVMF,ActiveMICStatus,hasMarketIdentifierCodeStatus
Facility-FXPS,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-XGEM,MICCodeScheme,isMemberOf
MIC-CXRT,Facility-CXRT,identifies
Facility-ZODM,www.zodia-markets.com,hasWebsite
Facility-MNIS,MarketSegmentLevelMarket,22-rdf-syntax-ns#type
Facility-MHBL,ServiceProvider-L-RB0PEZSDGCO3JS6CEU02,isManagedBy
Facility-XBVP,Curitiba,operatesInMunicipality
Facility-AQST,www.aquis.eu,hasWebsite
Facility-GTSM,ServiceProvider-L-5493005RMIRIL1NTB654,isManagedBy
MIC-TRUK,MICCodeScheme,isMemberOf
MIC-XDFM,MICCodeScheme,isMemberOf
Facility-XROT,OTC SPOT MARKET.,core#note
Facility-ZODM,OperatingLevelMarket,22-rdf-syntax-ns#type
Facility-FRAV,MarketSegmentLevelMarket,22-rdf-syntax-ns#type
Facility-PEPM,owl#NamedIndividual,22-rdf-syntax-ns#type
ServiceProvider-L-549300MVXLJMF1VIX094,FinancialServiceProvider,22-rdf-syntax-ns#type
Facility-FRAA,MarketSegmentLevelMarket,22-rdf-syntax-ns#type
Facility-TRAL,TRADING REQUEST FOR QUOTE PLATFORM FOR FX OTC DERIVATIVES.,core#note
Facility-21XX,21X,hasFacilityAcronym
Facility-FXGB,MultilateralTradingFacility,22-rdf-syntax-ns#type
MIC-IOTF,IOTF,hasTag
MIC-TOCP,MICCodeScheme,isMemberOf
Facility-ICEL,OperatingLevelMarket,22-rdf-syntax-ns#type
Facility-XGSE,GEORGIA STOCK EXCHANGE,hasFormalName
MIC-SSBI,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
Facility-XPST,POSIT - ASIA PACIFIC,hasFormalName
Facility-XHCE,Germany,operatesInCountry
MIC-BMFA,BMFA,hasTag
MIC-BLFX,BLFX,hasTag
MIC-XHAM,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-SBIL,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-IMFD,MICCodeScheme,isMemberOf
Facility-BARU,RegulatedExchange,22-rdf-syntax-ns#type
Facility-MIZX,www.mizuho-sc.com,hasWebsite
Facility-SOHO,"TWO SIGMA SECURITIES, LLC",hasFormalName
Facility-XBBF,Rio_de_Janeiro,operatesInMunicipality
MIC-EBXV,Facility-EBXV,identifies
ServiceProvider-L-254900CXCSGW8M52ZU27,BURSA MALAYSIA as service provider,rdf-schema#label
LegalEntity-EDXLONDONLIMITED,EDX LONDON LIMITED,rdf-schema#label
ServiceProvider-L-529900QA7T9JLRFVNN10,L-529900QA7T9JLRFVNN10,isPlayedBy
ServiceProvider-L-5493002QEVJSI5TKS584,L-5493002QEVJSI5TKS584,isPlayedBy
MIC-GFPO,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-IMRD,MICCodeScheme,isMemberOf
ServiceProvider-L-549300NUJ7MUQK1GG892,"CURRENEX, INC. as service provider",rdf-schema#label
